Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"We need to stop development and we need to improve traffic and quality of life for residents. Many people I know do not want to come to SM or visit because of the traffic.    My daughter used to take gymnastics in WLA, just west of the 405 and it would take me 45 mins to travel 5 miles....That is ridiculous and is the BIGGEST problem we have.    We need to put development on hold while we focus on this issue. The development plans that supposedly address these issues do not work and they havent worked over the last decade as developers have put included traffic mitigation plans in their projects, yet traffic continues to get worse.",Development,Against development,Transport,Congestion,,,,,,,,,,,,
2015,"I have seen our tourist and weekend traffic more than quadruple and it is increasingly difficult to get around -- it is unpleasant as these visitors behave as if our home is their playground to disrupt at will. All summer and during the other seasons' weekends I do not enjoy trying to accomplish basic needs/errands. we desperately need to stop over developing this town - and find better traffic directing methodologies especially from 5th street west around the promenade, beaches and mall.",Development,Against development,Transport,Congestion,,,,,,,,,,,,
2015,metered Parking rates are high; there is not a lot of parking available to residents. Parking tickets are high if residents forget to move their cars for street cleaning. There is a lot of traffic getting to the promenade especially during tourist season. no perks for residents.,Development,Against development,Transport,Parking,,,,,,,,,,,,
2015,Decrease traffic congestion. Reduce and stop the density of the developments. Resident families and the elderly are being pushed out in favor of SRO buildings.  Santa Monica is a beautiful beach-side city that is being turned into Miami's South Beach.,Development,Against development - Congestion/Overcrowding,Transport,Congestion,,,,,,,,,,,,
2015,"slow done growth, control traffic on the side streets, because Lincoln is so busy many cars speed down parallel side streets to avoid traffic on Lincoln the city seems unwilling to do anything concerning that issue",Development,Against development,Transport,Congestion,,,,,,,,,,,,
2015,Do something about the traffic. Stop assuming we're all going to walk or bike everywhere. That's not realistic. I spend more and more time in my car doing basic errands. Enough development.,Development,Against development,Transport,Other,,,,,,,,,,,,
2015,Too many tourists!  Parking is an issue and it is difficult for SM residents to conduct their daily business because of parking and tourists.,Development,Against development,Transport,Parking,,,,,,,,,,,,
2015,The completion of the Expo Line and having less construction in general will help everyone's sanity with the traffic,Development,Against development - Congestion/Overcrowding,Transport,Public transport,,,,,,,,,,,,
2015,"I would like to see slower growth in Santa Monica, less commuter apartments, a lot less traffic congestion.",Development,Against development,Transport,Congestion,,,,,,,,,,,,
2015,Stop developers influence and corruption of local government. Enforce current zoning. reduce traffic.,Development,Against development - Congestion/Overcrowding,Transport,Congestion,,,,,,,,,,,,
2015,"Stop building big projects, improve traffic flow, more bike lanes like the ones on Broadway.",Development,Against development,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,Less buildings and Traffic. More Parks .Keep Religion a part of our City.,Development,Against development,Transport,Congestion,,,,,,,,,,,,
2015,"Citywide ""healthy living"" with celebration of walking & biking. Improve outreach and implement recycling and composting. Eliminate single-use products.",Environment,Improve environmental sustainability,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,The quality of the water in the Ocean. The access and reliability of public transportation.,Environment,Water quality,Transport,Public transport,,,,,,,,,,,,
2015,"I would like to improve relations with my landlord, who does everything he can to undermine my health and well-being, [XXX]  I walk every day in Santa Monica. Walking is becoming a VERY risky activity here, because at least 20% of drivers flout traffic rules (e.g., they speed, drive on the wrong side of the rode) as a matter of course. This is the single biggest threat to my health and well-being, which I face on a daily basis. Yet, the police spend an inordinate amount of time harassing and otherwise violating the rights of homeless people rather than enforcing traffic rules. On public buses, the City has launched an Orwellian PR campaign, which blames pedestrians for traffic fatalities. [XXX] In Santa Monica, driving is a right and walking is a privilege. Walking while homeless has quite obviously become a crime here.    This decidedly unhealthy and unsafe situation is symptomatic of the shift in City policies, which favor the wealthy elite and over everyone else.",Housing,Protection of rent control tenants' interests,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,"I think most of my neighbors are very concerned about the rising cost of housing in Santa Monica, and whether, if something happened to the housing unit we're in, we would be priced out of the area. Land is so very enticing there and we worry that our landlady will sell up and we will be homeless. Which brings me to the awful plight of the homeless.....I know Santa Monica is doing a LOT for that population, but it can be hazardous making your way around the neighborhood early in the morning (I go to work early) or out for an evening stroll. I have been lunged at, bitten by a dog, yelled at and had our garage broken into. But I know most residents have had some experience or another in this regard. The police are fantastic, though. They're courteous, not bullying; they just maintain a presence and respond when necessary. I appreciate that, too.   I would love it if there were no traffic allowed downtown or that certain streets, other than Third Street, were roped off...just for pedestrians. It makes for a sense of well-being just being able to walk freely without worrying about being run over.     Thank you for conducting this survey! Go, Santa Monica!",Housing,Affordability,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,"I would love it if we could have less traffic. I have 2 kids and love Santa Monica schools, my absolute biggest concern is that it's impossible for middle class people like my husband and I to afford a house here. I think about that every day.",Housing,Affordability,Transport,Congestion,,,,,,,,,,,,
